preId,id,en-us
buttons,changePsw,修改密码
buttons,hsLoginOut,退出登录
buttons,hsfullscreen,全屏
buttons,hsexitfullscreen,退出全屏
buttons,hsrefreshRoute,刷新路由
buttons,hslogin,登录
buttons,hsadd,新增
buttons,hsmark,标记/取消
buttons,hssave,保存
buttons,hssearch,搜索
buttons,hsexpendAll,全部展开
buttons,hscollapseAll,全部折叠
buttons,hssystemSet,打开项目配置
buttons,hsdelete,删除
buttons,hsreload,重新加载
buttons,hscloseCurrentTab,关闭当前标签页
buttons,hscloseLeftTabs,关闭左侧标签页
buttons,hscloseRightTabs,关闭右侧标签页
buttons,hscloseOtherTabs,关闭其他标签页
buttons,hscloseAllTabs,关闭全部标签页
buttons,hswholeFullScreen,全屏
buttons,hswholeExitFullScreen,退出全屏
buttons,hscontentFullScreen,内容区全屏
buttons,hscontentExitFullScreen,内容区退出全屏
menus,hshome,首页
menus,hslogin,登录
menus,UserManagement,用户管理
menus,hssysManagement,系统管理
menus,hsPerson,人员管理
menus,hsUser,用户列表
menus,hsRole,角色管理
menus,hsMenu,菜单管理
menus,hsabnormal,异常页面
menus,hsfourZeroFour,404
menus,hsfourZeroOne,403
menus,hsFive,500
menus,permission,权限管理
menus,permissionPage,页面权限
menus,permissionButton,按钮权限
layout,systemTitle,水费管理系统
layout,fold,点击折叠
layout,expand,点击展开
layout,settingTitle,项目配置
layout,closeSetting,关闭配置
layout,themeTitle,主题
layout,bavTitle,导航栏模式
layout,layoutLeft,左侧模式
layout,layoutTop,顶部模式
layout,layoutMix,混合模式
layout,themeColorTitle,主题色
layout,showTitle,界面显示
layout,grayMode,灰色模式
layout,weaknessMode,色弱模式
layout,hideLabel,隐藏标签页
layout,sideLogo,侧边栏Logo
layout,tabPersistence,标签页持久化
layout,labelStyle,标签风格
layout,switchOn,开
layout,switchOff,关
layout,cardStyle,卡片
layout,agileStyle,灵动
layout,clearAndLoginOut,清空缓存并返回登录页
layout,searchReg,请输入搜索关键字
layout,noData,暂无数据
layout,confirm,确认
layout,switch,切换
layout,close,关闭
status,hsLoad,加载中...
login,username,账号
login,password,密码
login,login,登录
login,usernameReg,请输入账号
login,passwordReg,请输入密码
login,passwordRuleReg,密码格式应为8-18位数字、字母、符号的任意两种组合
message,messageSystem,系统提示
message,messageTimeOutAuto,由于长时间未操作，您已自动退出系统！
