FilePath,preKey,key,zh,en
"../src/views/system/dict/addUpdate.vue:13","addUpdate","tianJiaZiDian","添加字典",""
"../src/views/system/dict/index.vue:41","index","duiZhaoZiDuan","对照字段：",""
"../src/views/system/dict/index.vue:42","index","qingXuanZeZi","请选择字典名称",""
"../src/views/system/dict/indexHook.tsx:108","indexHook","tianJiaZiDian","添加字典",""
"../src/views/system/menu/addUpdate.vue:42","addUpdate","tianJiaCaiDan","添加菜单",""
"../src/views/system/menu/addUpdate.vue:79","addUpdate","shangJiCaiDan","上级菜单不能为空",""
"../src/views/system/menu/addUpdate.vue:80","addUpdate","caiDanLeiXing","菜单类型不能为空",""
"../src/views/system/menu/addUpdate.vue:81","addUpdate","caiDanMingCheng","菜单名称不能为空",""
"../src/views/system/menu/addUpdate.vue:82","addUpdate","caiDanShunXu","菜单顺序不能为空",""
"../src/views/system/menu/addUpdate.vue:84","addUpdate","yeMianLuJing","页面路径或权限标识不能为空",""
"../src/views/system/menu/addUpdate.vue:87","addUpdate","yeMianMingCheng","页面名称不能为空",""
"../src/views/system/menu/addUpdate.vue:104","addUpdate","zhuLeiMu","主类目",""
"../src/views/system/menu/addUpdate.vue:167","addUpdate","xiuGaiChengGong","修改成功",""
"../src/views/system/menu/addUpdate.vue:181","addUpdate","xinZengChengGong","新增成功",""
"../src/views/system/menu/addUpdate.vue:207","addUpdate","shangJiCaiDan","上级菜单",""
"../src/views/system/menu/addUpdate.vue:218","addUpdate","xuanZeShangJi","选择上级菜单",""
"../src/views/system/menu/addUpdate.vue:224","addUpdate","caiDanLeiXing","菜单类型",""
"../src/views/system/menu/addUpdate.vue:233","addUpdate","caiDanTuBiao","菜单图标",""
"../src/views/system/menu/addUpdate.vue:244","addUpdate","dianJiXuanZe","点击选择图标",""
"../src/views/system/menu/addUpdate.vue:273","addUpdate","muLuMingCheng","目录名称",""
"../src/views/system/menu/addUpdate.vue:275","addUpdate","caiDanMingCheng","菜单名称",""
"../src/views/system/menu/addUpdate.vue:276","addUpdate","anNiuMingCheng","按钮名称",""
"../src/views/system/menu/addUpdate.vue:280","addUpdate","qingShuRuCai","请输入菜单名称",""
"../src/views/system/menu/addUpdate.vue:284","addUpdate","xianShiPaiXu","显示排序",""
"../src/views/system/menu/addUpdate.vue:297","addUpdate","qingShuRuQuan","请输入权限标识",""
"../src/views/system/menu/addUpdate.vue:297","addUpdate","qingShuRuYe","请输入页面路径",""
"../src/views/system/menu/addUpdate.vue:304","addUpdate","anNiuKongZhi","按钮控制器中定义的权限字符，如：v-permission='system:role:add'",""
"../src/views/system/menu/addUpdate.vue:311","addUpdate","fangWenDeYe","访问的页面路径，如：菜单管理 `/system/menu/index`，默认在`views`目录下",""
"../src/views/system/menu/addUpdate.vue:318","addUpdate","fangWenDeMu","访问的目录路径，如：菜单管理 `/system`，默认在`views`目录下",""
"../src/views/system/menu/addUpdate.vue:326","addUpdate","muLuLuJing","目录路径",""
"../src/views/system/menu/addUpdate.vue:328","addUpdate","yeMianLuJing","页面路径",""
"../src/views/system/menu/addUpdate.vue:329","addUpdate","quanXianBiaoShi","权限标识",""
"../src/views/system/menu/addUpdate.vue:340","addUpdate","fangWenYeMian","访问页面的名称，系统访问页面路由时，根据页面名称来定位",""
"../src/views/system/menu/addUpdate.vue:350","addUpdate","qingShuRuYe","请输入页面名称",""
