comment,FilePath,preId,id,zh-cn,en-us
"t('index.qingShuRuTu')","../src/components/IconSelect/index.vue:6","index","qingShuRuTu","请输入图标名称","en"
"t('bar.zheDie')","../src/components/ReTableBar/src/bar.tsx:104","bar","zheDie","折叠","en"
"t('bar.zhanKai')","../src/components/ReTableBar/src/bar.tsx:104","bar","zhanKai","展开","en"
"t('bar.shuaXin')","../src/components/ReTableBar/src/bar.tsx:118","bar","shuaXin","刷新","en"
"t('bar.miDu')","../src/components/ReTableBar/src/bar.tsx:130","bar","miDu","密度","en"
"t('index.qingZaiWenJian')","../src/config/index.ts:47","index","qingZaiWenJian","请在public文件夹下添加serverConfig.json配置文件","en"
"t('appMain.huiDaoDingBu')","../src/layout/components/appMain.vue:83","appMain","huiDaoDingBu","回到顶部","en"
"t('useNav.dangQianLuYou')","../src/layout/hooks/useNav.ts:15","useNav","dangQianLuYou","当前路由配置不正确，请检查配置","en"
"t('index.shenFenYanZheng')","../src/utils/http/index.ts:99","index","shenFenYanZheng","身份验证失败，请重新登录！","en"
"t('index.dengLuChengGong')","../src/views/login/index.vue:62","index","dengLuChengGong","登录成功","en"
"t('rule.qingShuRuZhang')","../src/views/login/utils/rule.ts:8","rule","qingShuRuZhang","请输入账号","en"
"t('rule.qingShuRuMi')","../src/views/login/utils/rule.ts:15","rule","qingShuRuMi","请输入密码","en"
"t('addUpdate.tianJiaPeiZhi')","../src/views/phone-bill/addUpdate.vue:13","addUpdate","tianJiaPeiZhi","添加配置","en"
"t('addUpdate.buNengYouZhong')","../src/views/phone-bill/addUpdate.vue:78","addUpdate","buNengYouZhong","不能有重复的号段","en"
"t('addUpdate.zhiShaoTianXie')","../src/views/phone-bill/addUpdate.vue:86","addUpdate","zhiShaoTianXie","至少填写一个固定面额哟","en"
"t('addUpdate.qingShuRuXian')","../src/views/phone-bill/addUpdate.vue:93","addUpdate","qingShuRuXian","请输入限额数值","en"
"t('addUpdate.qingXuanZeGuo')","../src/views/phone-bill/addUpdate.vue:99","addUpdate","qingXuanZeGuo","请选择国家","en"
"t('addUpdate.qingXuanZeHua')","../src/views/phone-bill/addUpdate.vue:101","addUpdate","qingXuanZeHua","请选择话费币种","en"
"t('addUpdate.qingXuanZeFu')","../src/views/phone-bill/addUpdate.vue:102","addUpdate","qingXuanZeFu","请选择付款币种","en"
"t('addUpdate.guoJia')","../src/views/phone-bill/addUpdate.vue:238","addUpdate","guoJia","国家：","en"
"t('addUpdate.yunYingShangJi')","../src/views/phone-bill/addUpdate.vue:252","addUpdate","yunYingShangJi","运营商及号段配置：","en"
"t('addUpdate.qingShuRuHao')","../src/views/phone-bill/addUpdate.vue:257","addUpdate","qingShuRuHao","请输入号段","en"
"t('addUpdate.huaFeiBiZhong')","../src/views/phone-bill/addUpdate.vue:288","addUpdate","huaFeiBiZhong","话费币种：","en"
"t('addUpdate.fuKuanBiZhong')","../src/views/phone-bill/addUpdate.vue:302","addUpdate","fuKuanBiZhong","付款币种：","en"
"t('addUpdate.guDingMianE')","../src/views/phone-bill/addUpdate.vue:305","addUpdate","guDingMianE","固定面额：","en"
"t('addUpdate.ziDingYiMian')","../src/views/phone-bill/addUpdate.vue:318","addUpdate","ziDingYiMian","自定义面额：","en"
"t('recharge.qingShuRuChan')","../src/views/phone-bill/recharge.vue:12","recharge","qingShuRuChan","请输入产品名称","en"
"t('recharge.qingXuanZeShu')","../src/views/phone-bill/recharge.vue:13","recharge","qingXuanZeShu","请选择KYC属性","en"
"t('recharge.yiJi')","../src/views/phone-bill/recharge.vue:18","recharge","yiJi","一级KYC","en"
"t('recharge.erJi')","../src/views/phone-bill/recharge.vue:19","recharge","erJi","二级KYC","en"
"t('recharge.sanJi')","../src/views/phone-bill/recharge.vue:20","recharge","sanJi","三级KYC","en"
"t('recharge.buXianZhi')","../src/views/phone-bill/recharge.vue:21","recharge","buXianZhi","不限制","en"
"t('recharge.huaFeiChongZhi')","../src/views/phone-bill/recharge.vue:24","recharge","huaFeiChongZhi","话费充值","en"
"t('recharge.bianJiPeiZhi')","../src/views/phone-bill/recharge.vue:42","recharge","bianJiPeiZhi","编辑配置","en"
"t('recharge.sheZhiChengGong')","../src/views/phone-bill/recharge.vue:89","recharge","sheZhiChengGong","设置成功！","en"
"t('recharge.jiChuPeiZhi')","../src/views/phone-bill/recharge.vue:128","recharge","jiChuPeiZhi","基础配置","en"
"t('recharge.chanPinMingCheng')","../src/views/phone-bill/recharge.vue:130","recharge","chanPinMingCheng","产品名称","en"
"t('recharge.gouMaiYongHu')","../src/views/phone-bill/recharge.vue:145","recharge","gouMaiYongHu","购买用户约束","en"
"t('recharge.shuXing')","../src/views/phone-bill/recharge.vue:147","recharge","shuXing","KYC属性","en"
"t('recharge.chanPinShuXing')","../src/views/phone-bill/recharge.vue:164","recharge","chanPinShuXing","产品属性","en"
"t('recharge.huaFeiPeiZhi')","../src/views/phone-bill/recharge.vue:166","recharge","huaFeiPeiZhi","话费配置","en"
"t('record.dingDanBianHao')","../src/views/phone-bill/record.vue:32","record","dingDanBianHao","订单编号：","en"
"t('record.qingShuRuDing')","../src/views/phone-bill/record.vue:33","record","qingShuRuDing","请输入订单编号","en"
"t('record.shouJiHao')","../src/views/phone-bill/record.vue:35","record","shouJiHao","手机号","en"
"t('record.qingShuRuShou')","../src/views/phone-bill/record.vue:36","record","qingShuRuShou","请输入手机号","en"
"t('record.jiaoYiShiJian')","../src/views/phone-bill/record.vue:38","record","jiaoYiShiJian","交易时间：","en"
"t('record.zhi')","../src/views/phone-bill/record.vue:44","record","zhi","至","en"
"t('record.kaiShiShiJian')","../src/views/phone-bill/record.vue:45","record","kaiShiShiJian","开始时间","en"
"t('record.jieShuShiJian')","../src/views/phone-bill/record.vue:46","record","jieShuShiJian","结束时间","en"
"t('record.zhuangTai')","../src/views/phone-bill/record.vue:50","record","zhuangTai","状态：","en"
"t('record.qingXuanZeZhuang')","../src/views/phone-bill/record.vue:51","record","qingXuanZeZhuang","请选择状态","en"
"t('recordHook.daiFuKuan')","../src/views/phone-bill/recordHook.tsx:19","recordHook","daiFuKuan","待付款","en"
"t('recordHook.zhiFuWanCheng')","../src/views/phone-bill/recordHook.tsx:20","recordHook","zhiFuWanCheng","支付完成","en"
"t('recordHook.chongZhiWanCheng')","../src/views/phone-bill/recordHook.tsx:21","recordHook","chongZhiWanCheng","充值完成","en"
"t('recordHook.yiTuiKuan')","../src/views/phone-bill/recordHook.tsx:22","recordHook","yiTuiKuan","已退款","en"
"t('recordHook.fuKuanZhong')","../src/views/phone-bill/recordHook.tsx:24","recordHook","fuKuanZhong","付款中","en"
"t('recordHook.tuiKuanZhong')","../src/views/phone-bill/recordHook.tsx:25","recordHook","tuiKuanZhong","退款中","en"
"t('recordHook.fuKuanShiBai')","../src/views/phone-bill/recordHook.tsx:26","recordHook","fuKuanShiBai","付款失败","en"
"t('recordHook.tuiKuanShiBai')","../src/views/phone-bill/recordHook.tsx:27","recordHook","tuiKuanShiBai","退款失败","en"
"t('recordHook.chongZhiShiBai')","../src/views/phone-bill/recordHook.tsx:28","recordHook","chongZhiShiBai","充值失败","en"
"t('recordHook.yiQuXiao')","../src/views/phone-bill/recordHook.tsx:29","recordHook","yiQuXiao","已取消","en"
"t('recordHook.xuHao')","../src/views/phone-bill/recordHook.tsx:49","recordHook","xuHao","序号","en"
"t('recordHook.dingDanBianHao1')","../src/views/phone-bill/recordHook.tsx:54","recordHook","dingDanBianHao1","订单编号","en"
"t('recordHook.yongHu')","../src/views/phone-bill/recordHook.tsx:58","recordHook","yongHu","用户ID","en"
"t('recordHook.yongHuShouJi')","../src/views/phone-bill/recordHook.tsx:62","recordHook","yongHuShouJi","用户手机号码","en"
