comment,FilePath,preId,id,zh-cn,en-us
"t('index.qingShuRuTu')","../src/components/IconSelect/index.vue:6","index","qingShuRuTu","请输入图标名称","en"
"t('bar.kuanSong')","../src/components/ReTableBar/src/bar.tsx:72","bar","kuanSong","宽松","en"
"t('bar.moRen')","../src/components/ReTableBar/src/bar.tsx:78","bar","moRen","默认","en"
"t('bar.jinCou')","../src/components/ReTableBar/src/bar.tsx:84","bar","jinCou","紧凑","en"
"t('bar.zheDie')","../src/components/ReTableBar/src/bar.tsx:104","bar","zheDie","折叠","en"
"t('bar.zhanKai')","../src/components/ReTableBar/src/bar.tsx:104","bar","zhanKai","展开","en"
"t('bar.shuaXin')","../src/components/ReTableBar/src/bar.tsx:118","bar","shuaXin","刷新","en"
"t('bar.miDu')","../src/components/ReTableBar/src/bar.tsx:130","bar","miDu","密度","en"
"t('index.qingZaiWenJian')","../src/config/index.ts:47","index","qingZaiWenJian","请在public文件夹下添加serverConfig.json配置文件","en"
"t('appMain.huiDaoDingBu')","../src/layout/components/appMain.vue:83","appMain","huiDaoDingBu","回到顶部","en"
"t('horizontal.jianTiZhongWen')","../src/layout/components/sidebar/horizontal.vue:81","horizontal","jianTiZhongWen","简体中文","en"
"t('useNav.dangQianLuYou')","../src/layout/hooks/useNav.ts:15","useNav","dangQianLuYou","当前路由配置不正确，请检查配置","en"
"t('index.shenFenYanZheng')","../src/utils/http/index.ts:99","index","shenFenYanZheng","身份验证失败，请重新登录！","en"
"t('403.baoQianNiWu')","../src/views/error/403.vue:44","403","baoQianNiWu","抱歉，你无权访问该页面","en"
"t('403.fanHuiShouYe')","../src/views/error/403.vue:62","403","fanHuiShouYe","返回首页","en"
"t('404.baoQianNiFang')","../src/views/error/404.vue:44","404","baoQianNiFang","抱歉，你访问的页面不存在","en"
"t('500.baoQianFuWu')","../src/views/error/500.vue:44","500","baoQianFuWu","抱歉，服务器出错了","en"
"t('index.dengLuChengGong')","../src/views/login/index.vue:62","index","dengLuChengGong","登录成功","en"
"t('rule.qingShuRuZhang')","../src/views/login/utils/rule.ts:8","rule","qingShuRuZhang","请输入账号","en"
"t('rule.qingShuRuMi')","../src/views/login/utils/rule.ts:15","rule","qingShuRuMi","请输入密码","en"
"t('addUpdate.tianJiaZiDian')","../src/views/system/dict/addUpdate.vue:11","addUpdate","tianJiaZiDian","添加字典","en"
"t('addUpdate.qingShuRuDui')","../src/views/system/dict/addUpdate.vue:37","addUpdate","qingShuRuDui","请输入对照字段","en"
"t('addUpdate.qingShuRuDui1')","../src/views/system/dict/addUpdate.vue:38","addUpdate","qingShuRuDui1","请输入对照名称","en"
"t('addUpdate.qingShuRuDui2')","../src/views/system/dict/addUpdate.vue:39","addUpdate","qingShuRuDui2","请输入对照码","en"
"t('addUpdate.qingShuRuDai')","../src/views/system/dict/addUpdate.vue:40","addUpdate","qingShuRuDai","请输入代码描述","en"
"t('addUpdate.qingXuanZeShi')","../src/views/system/dict/addUpdate.vue:41","addUpdate","qingXuanZeShi","请选择是否可编辑","en"
"t('addUpdate.xiuGaiChengGong')","../src/views/system/dict/addUpdate.vue:80","addUpdate","xiuGaiChengGong","修改成功！","en"
"t('addUpdate.tianJiaChengGong')","../src/views/system/dict/addUpdate.vue:93","addUpdate","tianJiaChengGong","添加成功！","en"
"t('addUpdate.duiZhaoZiDuan')","../src/views/system/dict/addUpdate.vue:122","addUpdate","duiZhaoZiDuan","对照字段","en"
"t('addUpdate.duiZhaoMingCheng')","../src/views/system/dict/addUpdate.vue:129","addUpdate","duiZhaoMingCheng","对照名称","en"
"t('addUpdate.duiZhaoMa')","../src/views/system/dict/addUpdate.vue:136","addUpdate","duiZhaoMa","对照码","en"
"t('addUpdate.daiMaMiaoShu')","../src/views/system/dict/addUpdate.vue:143","addUpdate","daiMaMiaoShu","代码描述","en"
"t('addUpdate.paiXuHao')","../src/views/system/dict/addUpdate.vue:150","addUpdate","paiXuHao","排序号","en"
"t('addUpdate.qingShuRuPai')","../src/views/system/dict/addUpdate.vue:154","addUpdate","qingShuRuPai","请输入排序号","en"
"t('addUpdate.bianJiMoShi')","../src/views/system/dict/addUpdate.vue:158","addUpdate","bianJiMoShi","编辑模式","en"
"t('addUpdate.keBianJi')","../src/views/system/dict/addUpdate.vue:160","addUpdate","keBianJi","可编辑","en"
"t('addUpdate.zhiDu')","../src/views/system/dict/addUpdate.vue:161","addUpdate","zhiDu","只读","en"
"t('addUpdate.qiYongZhuangTai')","../src/views/system/dict/addUpdate.vue:164","addUpdate","qiYongZhuangTai","启用状态","en"
"t('addUpdate.qiYong')","../src/views/system/dict/addUpdate.vue:166","addUpdate","qiYong","启用","en"
"t('addUpdate.jinYong')","../src/views/system/dict/addUpdate.vue:167","addUpdate","jinYong","禁用","en"
"t('addUpdate.beiZhu')","../src/views/system/dict/addUpdate.vue:170","addUpdate","beiZhu","备注","en"
